About|Tungkol|Tentang|Giới thiệu|เกี่ยวกับ|Acerca de|Sobre|À propos|Über|О программе
Auto Rejoin|Awtomatikong pagsali muli|Gabung Ulang Otomatis|Tự động vào lại|เข้าร่วมใหม่อัตโนมัติ|Reconexión automática|Reconexão automática|Reconnexion automatique|Automatisch neu verbinden|Автопереподключение
Auto Execute|Awtomatikong pagpapatakbo|Jalankan Otomatis|Tự động chạy|เรียกใช้อัตโนมัติ|Ejecución automática|Execução automática|Exécution automatique|Automatisch ausführen|Автозапуск
FPS Limit|Limitasyon ng FPS|Batas FPS|Giới hạn FPS|จำกัด FPS|Límite de FPS|Limite de FPS|Limite de FPS|FPS-Limit|Ограничение FPS
Sends to Serenity when you press Submit.|Ipapadala sa Serenity kapag pinindot ang Ipadala.|Dikirim ke Serenity saat menekan Kirim.|Gửi đến Serenity khi bạn nhấn Gửi.|ส่งถึง Serenity เมื่อกดส่ง|Se envía a Serenity al pulsar Enviar.|Enviado ao Serenity ao pressionar Enviar.|Envoyé à Serenity lorsque vous appuyez sur Envoyer.|Wird beim Senden an Serenity übermittelt.|Отправляется в Serenity по нажатию кнопки.
Write between 10 and 1800 characters.|Sumulat ng 10 hanggang 1800 karakter.|Tulis 10 hingga 1800 karakter.|Viết từ 10 đến 1800 ký tự.|เขียน 10 ถึง 1800 ตัวอักษร|Escribe entre 10 y 1800 caracteres.|Escreva entre 10 e 1800 caracteres.|Écrivez entre 10 et 1800 caractères.|Schreibe 10 bis 1800 Zeichen.|Введите от 10 до 1800 символов.
Please wait 30 seconds between reports.|Maghintay ng 30 segundo bago muling mag-ulat.|Tunggu 30 detik antar laporan.|Đợi 30 giây giữa các báo cáo.|รอ 30 วินาทีก่อนส่งรายงานอีกครั้ง|Espera 30 segundos entre informes.|Aguarde 30 segundos entre relatos.|Attendez 30 secondes entre les rapports.|Warte 30 Sekunden zwischen Berichten.|Подождите 30 секунд между обращениями.
Sending…|Ipinapadala…|Mengirim…|Đang gửi…|กำลังส่ง…|Enviando…|Enviando…|Envoi…|Wird gesendet…|Отправка…
Sending your report…|Ipinapadala ang iyong ulat…|Mengirim laporanmu…|Đang gửi báo cáo…|กำลังส่งรายงาน…|Enviando tu informe…|Enviando seu relato…|Envoi de votre rapport…|Dein Bericht wird gesendet…|Отправка обращения…
Report delivered|Naipadala ang ulat|Laporan terkirim|Đã gửi báo cáo|ส่งรายงานแล้ว|Informe enviado|Relato enviado|Rapport envoyé|Bericht gesendet|Обращение отправлено
Report delivered. Thank you.|Naipadala ang ulat. Salamat.|Laporan terkirim. Terima kasih.|Đã gửi báo cáo. Cảm ơn bạn.|ส่งรายงานแล้ว ขอบคุณ|Informe enviado. Gracias.|Relato enviado. Obrigado.|Rapport envoyé. Merci.|Bericht gesendet. Danke.|Обращение отправлено. Спасибо.
Not delivered. Your draft is still here.|Hindi naipadala. Nandito pa ang iyong draft.|Belum terkirim. Drafmu masih ada.|Chưa gửi được. Bản nháp vẫn còn.|ส่งไม่สำเร็จ ยังเก็บร่างไว้|No se envió. Tu borrador sigue aquí.|Não foi enviado. Seu rascunho continua aqui.|Non envoyé. Votre brouillon est conservé.|Nicht gesendet. Dein Entwurf bleibt erhalten.|Не отправлено. Черновик сохранён.
After the full Steal -> Sell cycle finishes, join a different non-full public server when no egg matches your Minimum Luck + Minimum K.G.|Pagkatapos ng buong Steal -> Sell cycle, lilipat sa ibang hindi punong public server kapag walang itlog na tugma sa Minimum Luck + Minimum K.G.|Setelah siklus Steal -> Sell selesai, pindah ke server publik lain yang belum penuh jika tidak ada telur yang cocok dengan Minimum Luck + Minimum K.G.|Sau khi hoàn tất chu trình Steal -> Sell, chuyển sang máy chủ công khai khác chưa đầy nếu không có trứng phù hợp Minimum Luck + Minimum K.G.|หลังจบรอบ Steal -> Sell จะย้ายไปเซิร์ฟเวอร์สาธารณะอื่นที่ยังไม่เต็ม หากไม่มีไข่ตรงกับ Minimum Luck + Minimum K.G.|Tras completar el ciclo Steal -> Sell, cambia a otro servidor público no lleno si ningún huevo coincide con Minimum Luck + Minimum K.G.|Após o ciclo Steal -> Sell, entra em outro servidor público não cheio se nenhum ovo corresponder a Minimum Luck + Minimum K.G.|Après le cycle Steal -> Sell, rejoint un autre serveur public non plein si aucun œuf ne correspond à Minimum Luck + Minimum K.G.|Nach dem Steal -> Sell-Zyklus wird zu einem anderen nicht vollen öffentlichen Server gewechselt, wenn kein Ei Minimum Luck + Minimum K.G. erfüllt.|После полного цикла Steal -> Sell переходит на другой неполный публичный сервер, если ни одно яйцо не подходит по Minimum Luck + Minimum K.G.
All Eggs|Lahat ng Itlog|Semua Telur|Tất cả trứng|ไข่ทั้งหมด|Todos los huevos|Todos os ovos|Tous les œufs|Alle Eier|Все яйца
All Placed Pets|Lahat ng Naka-place na Pet|Semua Pet yang Dipasang|Tất cả thú cưng đã đặt|สัตว์เลี้ยงที่วางทั้งหมด|Todas las mascotas colocadas|Todos os pets colocados|Tous les animaux placés|Alle platzierten Begleiter|Все размещённые питомцы
Anti-AFK|Anti-AFK|Anti-AFK|Chống AFK|กัน AFK|Anti-AFK|Anti-AFK|Anti-AFK|Anti-AFK|Анти-AFK
Any|Kahit Ano|Apa Saja|Bất kỳ|อะไรก็ได้|Cualquiera|Qualquer|N’importe lequel|Beliebig|Любое
Auto Change Farm Pets by Weather|Awtomatikong Palit ng Farm Pets ayon sa Panahon|Ganti Pet Farm Otomatis sesuai Cuaca|Tự đổi thú cưng nông trại theo thời tiết|เปลี่ยนสัตว์เลี้ยงในฟาร์มอัตโนมัติตามสภาพอากาศ|Cambiar mascotas de granja según el clima|Trocar pets da fazenda conforme o clima|Changer automatiquement les animaux selon la météo|Farm-Begleiter automatisch nach Wetter wechseln|Автосмена питомцев фермы по погоде
Auto Execute After Teleport / Reconnect|Auto Execute Pagkatapos ng Teleport / Reconnect|Jalankan Otomatis setelah Teleport / Sambung Ulang|Tự chạy sau dịch chuyển / kết nối lại|รันอัตโนมัติหลังเทเลพอร์ต / เชื่อมต่อใหม่|Ejecutar automáticamente tras teletransporte / reconexión|Executar automaticamente após teleporte / reconexão|Exécution auto après téléportation / reconnexion|Automatisch nach Teleport / Wiederverbindung ausführen|Автозапуск после телепорта / переподключения
Auto Feed Pets|Awtomatikong Pakainin ang Pets|Beri Makan Pet Otomatis|Tự cho thú cưng ăn|ให้อาหารสัตว์เลี้ยงอัตโนมัติ|Alimentar mascotas automáticamente|Alimentar pets automaticamente|Nourrir les animaux automatiquement|Begleiter automatisch füttern|Автокормление питомцев
Auto Hatch Luck Upgrade|Awtomatikong Hatch Luck Upgrade|Upgrade Hatch Luck Otomatis|Tự nâng cấp Hatch Luck|อัปเกรด Hatch Luck อัตโนมัติ|Mejora automática de Hatch Luck|Melhoria automática de Hatch Luck|Amélioration automatique de Hatch Luck|Hatch-Luck automatisch verbessern|Автоулучшение Hatch Luck
Auto Hatch Ready Eggs|Awtomatikong Hatch ng Handa nang Itlog|Tetaskan Telur Siap Otomatis|Tự ấp trứng đã sẵn sàng|ฟักไข่ที่พร้อมอัตโนมัติ|Eclosionar automáticamente los huevos listos|Chocar automaticamente ovos prontos|Faire éclore automatiquement les œufs prêts|Bereite Eier automatisch ausbrüten|Автовылупление готовых яиц
Auto Place|Awtomatikong Place|Tempatkan Otomatis|Tự đặt|วางอัตโนมัติ|Colocación automática|Colocação automática|Placement automatique|Automatisch platzieren|Авторазмещение
Auto Place Eggs|Awtomatikong Ilagay ang Itlog|Tempatkan Telur Otomatis|Tự đặt trứng|วางไข่อัตโนมัติ|Colocar huevos automáticamente|Colocar ovos automaticamente|Placer automatiquement les œufs|Eier automatisch platzieren|Авторазмещение яиц
Auto Reconnect Delay (Seconds)|Delay ng Auto Reconnect (Segundo)|Jeda Sambung Ulang Otomatis (Detik)|Độ trễ tự kết nối lại (giây)|หน่วงเวลาเชื่อมต่อใหม่อัตโนมัติ (วินาที)|Retraso de reconexión automática (segundos)|Atraso da reconexão automática (segundos)|Délai de reconnexion auto (secondes)|Auto-Reconnect-Verzögerung (Sekunden)|Задержка автопереподключения (сек.)
Auto Reconnect When Disconnected|Auto Reconnect Kapag Na-disconnect|Sambung Ulang Otomatis saat Terputus|Tự kết nối lại khi mất kết nối|เชื่อมต่อใหม่อัตโนมัติเมื่อหลุด|Reconectar automáticamente al desconectarse|Reconectar automaticamente ao desconectar|Reconnexion auto après déconnexion|Bei Trennung automatisch neu verbinden|Автопереподключение при разрыве
Auto Sell Pets|Awtomatikong Ibenta ang Pets|Jual Pet Otomatis|Tự bán thú cưng|ขายสัตว์เลี้ยงอัตโนมัติ|Vender mascotas automáticamente|Vender pets automaticamente|Vendre les animaux automatiquement|Begleiter automatisch verkaufen|Автопродажа питомцев
Auto Server Hop When No Matching Egg|Auto Server Hop Kapag Walang Tugmang Itlog|Pindah Server Otomatis jika Tidak Ada Telur Cocok|Tự đổi máy chủ khi không có trứng phù hợp|ย้ายเซิร์ฟเวอร์อัตโนมัติเมื่อไม่มีไข่ที่ตรงเงื่อนไข|Cambiar de servidor automáticamente si no hay huevo coincidente|Trocar de servidor automaticamente sem ovo correspondente|Changer de serveur automatiquement sans œuf correspondant|Server automatisch wechseln, wenn kein Ei passt|Автосмена сервера, если нет подходящего яйца
Auto Steal|Awtomatikong Steal|Curi Otomatis|Tự trộm|ขโมยอัตโนมัติ|Robo automático|Roubo automático|Vol automatique|Automatisch stehlen|Автокража
Auto Steal Eggs|Awtomatikong Nakawin ang Itlog|Curi Telur Otomatis|Tự trộm trứng|ขโมยไข่อัตโนมัติ|Robar huevos automáticamente|Roubar ovos automaticamente|Voler automatiquement les œufs|Eier automatisch stehlen|Автокража яиц
Auto Swap Highest Pet (No Mutation)|Auto Swap sa Pinakamataas na Pet (Walang Mutation)|Tukar Otomatis Pet Tertinggi (Tanpa Mutasi)|Tự đổi thú cưng cao nhất (không đột biến)|สลับสัตว์เลี้ยงสูงสุดอัตโนมัติ (ไม่มีมิวเทชัน)|Cambiar automáticamente a la mejor mascota (sin mutación)|Trocar automaticamente para o melhor pet (sem mutação)|Basculer automatiquement vers le meilleur animal (sans mutation)|Automatisch zum besten Begleiter wechseln (ohne Mutation)|Автосмена на лучшего питомца (без мутации)
Automatic game upgrades.|Awtomatikong game upgrades.|Upgrade game otomatis.|Tự động nâng cấp trong game.|อัปเกรดเกมอัตโนมัติ|Mejoras automáticas del juego.|Melhorias automáticas do jogo.|Améliorations automatiques du jeu.|Automatische Spiel-Upgrades.|Автоматические улучшения игры.
Automatically buy the next Hatch Luck upgrade when affordable.|Awtomatikong bilhin ang susunod na Hatch Luck upgrade kapag kaya ng pera.|Beli upgrade Hatch Luck berikutnya secara otomatis saat mampu.|Tự mua nâng cấp Hatch Luck tiếp theo khi đủ tiền.|ซื้ออัปเกรด Hatch Luck ถัดไปอัตโนมัติเมื่อมีเงินพอ|Compra automáticamente la siguiente mejora de Hatch Luck cuando puedas pagarla.|Compra automaticamente a próxima melhoria de Hatch Luck quando houver dinheiro suficiente.|Achète automatiquement la prochaine amélioration de Hatch Luck quand elle est abordable.|Kauft automatisch das nächste Hatch-Luck-Upgrade, sobald genug Geld vorhanden ist.|Автоматически покупает следующее улучшение Hatch Luck, когда хватает денег.
Automatically feed placed pets using selected food.|Awtomatikong pakainin ang naka-place na pets gamit ang napiling pagkain.|Beri makan pet yang dipasang secara otomatis dengan makanan terpilih.|Tự cho thú cưng đã đặt ăn bằng thức ăn đã chọn.|ให้อาหารสัตว์เลี้ยงที่วางไว้โดยอัตโนมัติด้วยอาหารที่เลือก|Alimenta automáticamente a las mascotas colocadas con la comida seleccionada.|Alimenta automaticamente os pets colocados usando a comida selecionada.|Nourrit automatiquement les animaux placés avec la nourriture sélectionnée.|Füttert platzierte Begleiter automatisch mit dem ausgewählten Futter.|Автоматически кормит размещённых питомцев выбранной едой.
